# === Registry (Add/Remove Programs) ===
# Exported: 2026-04-07 14:14:38


DisplayName                                                                   DisplayVersion     Publisher             
vs_clickoncesigntoolmsi                                                       18.4.11505         Microsoft Corporation 
vs_codecoveragemsi                                                            18.4.11505         Microsoft Corporation 
vs_communitymsires                                                            18.4.11505         Microsoft Corporation 
vs_communitysharedmsi                                                         18.4.11506         Microsoft Corporation 
vs_communityx64msi                                                            18.4.11506         Microsoft Corporation 
vs_CoreEditorFonts                                                            17.7.40001         Microsoft Corporation 
vs_devenvsharedmsi                                                            18.4.11505         Microsoft Corporation 
vs_devenx64vmsi                                                               18.4.11505         Microsoft Corporation 
vs_filehandler_amd64                                                          18.4.11506         Microsoft Corporation 
vs_filehandler_x86                                                            18.4.11506         Microsoft Corporation 
vs_FileTracker_Singleton                                                      18.4.11506         Microsoft Corporation 
vs_githubprotocolhandlermsi                                                   18.4.11505         Microsoft Corporation 
vs_minshellinteropsharedmsi                                                   18.4.11506         Microsoft Corporation 
vs_minshellinteropx64msi                                                      18.4.11505         Microsoft Corporation 
vs_minshellmsires                                                             18.4.11506         Microsoft Corporation 
vs_minshellsharedmsi                                                          18.4.11506         Microsoft Corporation 
vs_minshellx64msi                                                             18.4.11505         Microsoft Corporation 
vs_SQLClickOnceBootstrappermsi                                                18.4.11505         Microsoft Corporation 
vs_tipsmsi                                                                    18.4.11505         Microsoft Corporation 
vs_vswebprotocolselectormsi                                                   18.4.11505         Microsoft Corporation 
WD P40 Game Drive                                                             1.0.2.18           Western Digital Cor...
WD_BLACK AN1500                                                               1.0.12.0           ENE TECHNOLOGY INC.   
WD_BLACK D50                                                                  1.0.9.0            ENE TECHNOLOGY INC.   
Windows Migration Assistant                                                   3.0.1.0            Apple Inc.            
Windows SDK AddOn                                                             10.1.0.0           Microsoft Corporation 
Windows Subsystem for Linux                                                   2.6.3.0            Microsoft Corporation 
ZEUS CAST version 1.4.3.37                                                    1.4.3.37           GAMDIAS Technology ...




# === winget list ===


   - 
                                                                                                                        

   - 
   \ 
                                                                                                                        
Name                                     Id                                        Version            Available Source
-----------------------------------------------------------------------------------------------------------------------
7-Zip 26.00 (x64)                        7zip.7zip                                 26.00                        winget
Android Studio                           ARP\Machine\X64\Android Studio            2024.2                       
Audacity 3.7.7                           Audacity.Audacity                         3.7.7                        winget
Bambu Studio                             Bambulab.Bambustudio                      02.05.00.66                  winget
CPUID CPU-Z MSI 2.18                     CPUID.CPU-Z.MSI                           2.18               2.19      winget
Docker Desktop                           Docker.DockerDesktop                      4.67.0                       winget
Git                                      Git.Git                                   2.53.0.2                     winget
MetaTrader 5                             ARP\Machine\X64\MetaTrader 5              5.00                         
Mozilla Firefox (x64 en-US)              ARP\Machine\X64\Mozilla Firefox           149.0                        
Mozilla Maintenance Service              ARP\Machine\X64\MozillaMaintenanceService 149.0                        
Norton 360                               ARP\Machine\X64\Norton 360                26.2.10802.2386              
Notepad++ (64-bit x64)                   Notepad++.Notepad++                       8.9.3                        winget
PawnIO                                   namazso.PawnIO                            2.1.0.0            2.2.0     winget
PostgreSQL 18                            PostgreSQL.PostgreSQL.18                  18.3-2                       winget
Tesseract-OCR - open source OCR engine   ARP\Machine\X64\Tesseract-OCR             5.5.0.20241111               
TreeSize Free V4.8.1                     XP9M26RSCLNT88                            4.8.1                        msstore
psqlODBC 13.02.0000                      ARP\Machine\X64\psqlODBC 13.02.0000-1     13.02.0000-1                 
Microsoft .NET SDK 10.0.200 (x64) from ΓÇª ARP\Machine\X64\{020986C0-01AD-486D-951FΓÇª 40.10.56662                  
Microsoft ODBC Driver 17 for SQL Server  Microsoft.msodbcsql.17                    17.10.6.1                    winget
IIS 10.0 Express                         ARP\Machine\X64\{0F4F67F8-21E1-422D-B31CΓÇª 10.0.10007                   
